domain,question,answer,label
HR,"Tell me about yourself.","I am a motivated B.Tech CSE student with strong problem solving skills and a passion for building practical software solutions.",2
HR,"Tell me about yourself.","I am a CSE student currently in my third year and interested in technology.",1
HR,"Tell me about yourself.","Myself Rahul from Kolkata.",0
HR,"What are your strengths?","I have strong analytical skills and the ability to work effectively in team environments.",2
HR,"What are your strengths?","I am hardworking and sincere.",1
HR,"What are your strengths?","I do not know maybe nothing special.",0
HR,"Why should we hire you?","I bring technical expertise adaptability and a continuous learning mindset that aligns with company goals.",2
HR,"Why should we hire you?","Because I need a job and I will try my best.",1
HR,"Why should we hire you?","No idea.",0
HR,"What are your weaknesses?","I sometimes overanalyze problems but I am improving by setting strict time limits.",2
HR,"What are your weaknesses?","I get nervous sometimes.",1
HR,"What are your weaknesses?","I have no weaknesses.",0
HR,"Where do you see yourself in five years?","I see myself growing into a technical lead role contributing to impactful projects.",2
HR,"Where do you see yourself in five years?","Working in a good company.",1
HR,"Where do you see yourself in five years?","I do not know.",0
HR,"Describe a challenge you faced.","I led a team project where we missed deadlines initially but reorganized tasks and delivered successfully.",2
HR,"Describe a challenge you faced.","I had difficulty in one subject but studied harder.",1
HR,"Describe a challenge you faced.","No challenge.",0
HR,"Why do you want this job?","The company innovation culture and growth opportunities strongly match my career goals.",2
HR,"Why do you want this job?","It is a good company.",1
HR,"Why do you want this job?","Just trying.",0
HR,"How do you handle stress?","I prioritize tasks and break large problems into manageable steps to maintain productivity.",2
HR,"How do you handle stress?","I try to stay calm.",1
HR,"How do you handle stress?","I panic.",0
HR,"Are you a team player?","Yes I actively collaborate and communicate to achieve team objectives efficiently.",2
HR,"Are you a team player?","Yes I can work with others.",1
HR,"Are you a team player?","I prefer working alone always.",0
HR,"What motivates you?","Continuous learning and solving challenging problems motivate me.",2
HR,"What motivates you?","Money and career growth.",1
HR,"What motivates you?","Nothing.",0
HR,"How do you handle failure?","I analyze mistakes learn from them and apply improvements in future tasks.",2
HR,"How do you handle failure?","I feel bad but try again.",1
HR,"How do you handle failure?","I quit.",0
HR,"What makes you different?","My combination of technical depth and communication skills sets me apart.",2
HR,"What makes you different?","I am hardworking.",1
HR,"What makes you different?","Nothing special.",0
HR,"Describe yourself in one word.","Adaptable and driven.",2
HR,"Describe yourself in one word.","Good.",1
HR,"Describe yourself in one word.","Normal.",0
Technical,"What is OOPS?","OOPS is a programming paradigm based on encapsulation inheritance polymorphism and abstraction.",2
Technical,"What is OOPS?","It is object oriented programming.",1
Technical,"What is OOPS?","It is coding.",0
Technical,"Explain polymorphism.","Polymorphism allows methods to behave differently based on the object calling them.",2
Technical,"Explain polymorphism.","It means many forms.",1
